cell_id,cell_row,cell_col,lon,lat,valid_pixels,urbanization_component,vegetation_component,water_component,stress_score,stress_score_pca,stress_category,evidence_strength,supporting_evidence_count,evidence_interpretation
C_033_088,33,88,78.994298,13.481152,10000,0.3215,0.2984,0.0537,0.2245,0.2869,Q3: Moderate-High Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_033_089,33,89,79.003281,13.481152,8948,0.277,0.2721,0.0754,0.2082,0.2566,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_033_123,33,123,79.308708,13.481152,9933,0.0811,0.0694,0.1118,0.0874,0.0786,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_033_124,33,124,79.317691,13.481152,10000,0.2305,0.2377,0.0347,0.1676,0.2161,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_033_125,33,125,79.326674,13.481152,9979,0.0409,0.085,0.0669,0.0643,0.0631,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_033_131,33,131,79.380573,13.481152,6993,0.0731,0.0338,0.008,0.0383,0.0495,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_033_132,33,132,79.389556,13.481152,10000,0.03,0.0008,0.0157,0.0155,0.0156,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_033_133,33,133,79.39854,13.481152,10000,0.034,0.0113,0.0013,0.0156,0.0208,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_033_134,33,134,79.407523,13.481152,10000,0.0744,0.0251,0.001,0.0335,0.0456,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_032,34,32,78.491241,13.472169,5788,0.0088,0.2208,0.0,0.0765,0.1037,Q1: Lower Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_033,34,33,78.500224,13.472169,10000,0.0086,0.0973,0.0124,0.0395,0.049,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_034,34,34,78.509207,13.472169,10000,0.0054,0.013,0.001,0.0064,0.0084,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_035,34,35,78.518191,13.472169,10000,0.0924,0.2262,0.0033,0.1073,0.1447,Q1: Lower Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_036,34,36,78.527174,13.472169,10000,0.2523,0.3013,0.0298,0.1945,0.2544,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_037,34,37,78.536157,13.472169,10000,0.5136,0.8162,0.0531,0.461,0.6087,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_038,34,38,78.54514,13.472169,10000,0.5444,0.6964,0.0868,0.4425,0.5718,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_039,34,39,78.554123,13.472169,10000,0.0738,0.1881,0.0802,0.114,0.126,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_040,34,40,78.563106,13.472169,10000,0.2245,0.1908,0.001,0.1388,0.1892,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated built-up spectral change without confirmed vegetation or moisture drop.
C_034_041,34,41,78.57209,13.472169,10000,0.1142,0.1883,0.0115,0.1046,0.1384,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_042,34,42,78.581073,13.472169,10000,0.0247,0.0827,0.036,0.0478,0.0519,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_043,34,43,78.590056,13.472169,10000,0.0208,0.056,0.02,0.0322,0.0366,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_044,34,44,78.599039,13.472169,10000,0.0022,0.0051,0.0,0.0024,0.0033,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_045,34,45,78.608022,13.472169,10000,0.151,0.4509,0.0314,0.2111,0.2756,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_046,34,46,78.617005,13.472169,10000,0.0984,0.439,0.0881,0.2085,0.2512,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_047,34,47,78.625988,13.472169,10000,0.2154,0.2601,0.2004,0.2253,0.2342,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_034_048,34,48,78.634972,13.472169,10000,0.2545,0.3795,0.2689,0.3009,0.3122,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_034_049,34,49,78.643955,13.472169,10000,0.0799,0.212,0.2076,0.1665,0.151,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_034_050,34,50,78.652938,13.472169,8991,0.5332,0.4226,0.3234,0.4264,0.4643,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_034_053,34,53,78.679887,13.472169,9406,0.2416,0.3674,0.0383,0.2158,0.2801,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_054,34,54,78.688871,13.472169,10000,0.2119,0.3748,0.0799,0.2222,0.2735,Q3: Moderate-High Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_034_055,34,55,78.697854,13.472169,10000,0.3174,0.3493,0.0102,0.2256,0.3041,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_056,34,56,78.706837,13.472169,10000,0.1668,0.305,0.1519,0.2079,0.2278,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_057,34,57,78.71582,13.472169,10000,0.6243,0.4682,0.076,0.3895,0.5044,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_058,34,58,78.724803,13.472169,10000,0.4037,0.4546,0.3445,0.4009,0.4213,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_034_059,34,59,78.733786,13.472169,10000,0.3653,0.6409,0.0278,0.3447,0.4593,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_060,34,60,78.742769,13.472169,10000,0.1263,0.19,0.001,0.1058,0.1438,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_061,34,61,78.751753,13.472169,10000,0.1993,0.2861,0.0275,0.1709,0.223,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_062,34,62,78.760736,13.472169,10000,0.2974,0.4277,0.1605,0.2952,0.3438,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_063,34,63,78.769719,13.472169,10000,0.2187,0.3727,0.076,0.2225,0.2753,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_064,34,64,78.778702,13.472169,10000,0.4281,0.6458,0.058,0.3773,0.493,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_065,34,65,78.787685,13.472169,10000,0.3042,0.4087,0.1389,0.2839,0.3365,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_066,34,66,78.796668,13.472169,10000,0.4157,0.5857,0.1945,0.3987,0.4725,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_067,34,67,78.805652,13.472169,10000,0.4669,0.6119,0.0986,0.3924,0.4991,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_068,34,68,78.814635,13.472169,10000,0.2307,0.1937,0.0884,0.1709,0.2011,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated built-up spectral change without confirmed vegetation or moisture drop.
C_034_069,34,69,78.823618,13.472169,10000,0.1359,0.1622,0.0007,0.0996,0.1356,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_070,34,70,78.832601,13.472169,10000,0.0154,0.0183,0.0016,0.0118,0.0155,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_071,34,71,78.841584,13.472169,10000,0.0461,0.0539,0.0003,0.0334,0.0455,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_072,34,72,78.850567,13.472169,10000,0.0178,0.0368,0.0403,0.0316,0.0284,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_073,34,73,78.85955,13.472169,10000,0.1191,0.2647,0.3082,0.2306,0.2018,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_034_074,34,74,78.868534,13.472169,9936,0.212,0.5423,0.2805,0.3449,0.3672,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_034_075,34,75,78.877517,13.472169,10000,0.0762,0.219,0.0629,0.1193,0.1394,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_076,34,76,78.8865,13.472169,10000,0.1306,0.2562,0.0229,0.1366,0.1776,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_077,34,77,78.895483,13.472169,10000,0.0519,0.12,0.0472,0.073,0.0822,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_078,34,78,78.904466,13.472169,10000,0.12,0.4408,0.3144,0.2917,0.2823,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_034_079,34,79,78.913449,13.472169,10000,0.2526,0.7236,0.0996,0.3586,0.4514,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_080,34,80,78.922433,13.472169,10000,0.2847,0.7473,0.1903,0.4074,0.485,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_081,34,81,78.931416,13.472169,10000,0.135,0.353,0.1352,0.2077,0.2334,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_082,34,82,78.940399,13.472169,10000,0.1459,0.3507,0.0468,0.1811,0.2294,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_083,34,83,78.949382,13.472169,10000,0.0889,0.1945,0.0324,0.1053,0.1315,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_084,34,84,78.958365,13.472169,10000,0.2009,0.2356,0.0,0.1455,0.1985,Q2: Moderate-Low Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_034_085,34,85,78.967348,13.472169,10000,0.1742,0.1227,0.0,0.099,0.1352,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_086,34,86,78.976331,13.472169,10000,0.3056,0.271,0.0,0.1922,0.2625,Q2: Moderate-Low Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_034_087,34,87,78.985315,13.472169,10000,0.3583,0.4445,0.019,0.2739,0.3667,Q3: Moderate-High Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_034_088,34,88,78.994298,13.472169,10000,0.1803,0.2669,0.1009,0.1827,0.2122,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_089,34,89,79.003281,13.472169,10000,0.277,0.2733,0.0842,0.2115,0.258,Q2: Moderate-Low Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_034_090,34,90,79.012264,13.472169,10000,0.1837,0.183,0.1523,0.173,0.1805,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_091,34,91,79.021247,13.472169,9956,0.1723,0.2123,0.1605,0.1817,0.1893,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_092,34,92,79.03023,13.472169,6459,0.1739,0.1466,0.1364,0.1523,0.1582,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_119,34,119,79.272775,13.472169,7906,0.0236,0.0823,0.0808,0.0622,0.0552,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_120,34,120,79.281759,13.472169,9959,0.0858,0.1732,0.1713,0.1434,0.1329,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_121,34,121,79.290742,13.472169,10000,0.0574,0.2523,0.2204,0.1767,0.16,Q2: Moderate-Low Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_034_122,34,122,79.299725,13.472169,10000,0.0496,0.1846,0.1795,0.1379,0.1222,Q2: Moderate-Low Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_123,34,123,79.308708,13.472169,10000,0.1512,0.2449,0.1153,0.1705,0.1903,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_124,34,124,79.317691,13.472169,9960,0.2885,0.1678,0.0168,0.1577,0.2095,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated built-up spectral change without confirmed vegetation or moisture drop.
C_034_125,34,125,79.326674,13.472169,7424,0.1715,0.2182,0.1187,0.1694,0.1878,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_034_130,34,130,79.37159,13.472169,7718,0.0101,0.0077,0.0157,0.0112,0.0095,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_131,34,131,79.380573,13.472169,10000,0.0056,0.0082,0.0174,0.0104,0.0078,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_132,34,132,79.389556,13.472169,10000,0.0106,0.0183,0.0269,0.0186,0.0155,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_133,34,133,79.39854,13.472169,10000,0.0147,0.0086,0.0043,0.0092,0.011,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_034_134,34,134,79.407523,13.472169,10000,0.0041,0.0002,0.0062,0.0035,0.0025,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_032,35,32,78.491241,13.463186,10000,0.0861,0.376,0.0007,0.1543,0.2093,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_033,35,33,78.500224,13.463186,10000,0.1898,0.5544,0.0003,0.2482,0.3373,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_034,35,34,78.509207,13.463186,10000,0.0543,0.1784,0.0472,0.0933,0.1097,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_035,35,35,78.518191,13.463186,10000,0.1684,0.5419,0.0131,0.2411,0.323,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_036,35,36,78.527174,13.463186,10000,0.1898,0.4205,0.0609,0.2237,0.2823,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_037,35,37,78.536157,13.463186,10000,0.4313,0.5116,0.1739,0.3723,0.4444,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_038,35,38,78.54514,13.463186,10000,0.3814,0.8086,0.0524,0.4141,0.5446,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_039,35,39,78.554123,13.463186,10000,0.1445,0.4217,0.096,0.2207,0.2653,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_040,35,40,78.563106,13.463186,10000,0.1511,0.247,0.0511,0.1497,0.1853,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_041,35,41,78.57209,13.463186,10000,0.0226,0.0263,0.0174,0.0221,0.0238,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_042,35,42,78.581073,13.463186,10000,0.0237,0.0447,0.0,0.0228,0.031,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_043,35,43,78.590056,13.463186,10000,0.0981,0.1747,0.0436,0.1055,0.1278,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_044,35,44,78.599039,13.463186,10000,0.1267,0.1521,0.0429,0.1072,0.1306,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_045,35,45,78.608022,13.463186,10000,0.1502,0.5162,0.0354,0.2339,0.305,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_046,35,46,78.617005,13.463186,10000,0.2616,0.533,0.0711,0.2886,0.367,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_047,35,47,78.625988,13.463186,10000,0.1515,0.2474,0.0783,0.159,0.1882,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_048,35,48,78.634972,13.463186,10000,0.2317,0.5392,0.1834,0.3181,0.3661,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_049,35,49,78.643955,13.463186,10000,0.2908,0.3941,0.1696,0.2849,0.3265,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_050,35,50,78.652938,13.463186,8488,0.2378,0.2587,0.1898,0.2288,0.2429,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_052,35,52,78.670904,13.463186,5272,0.2579,0.3966,0.0944,0.2496,0.3058,Q3: Moderate-High Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_035_053,35,53,78.679887,13.463186,10000,0.1462,0.3198,0.0527,0.1729,0.2162,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_054,35,54,78.688871,13.463186,10000,0.1929,0.3534,0.0475,0.1979,0.2522,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_055,35,55,78.697854,13.463186,10000,0.2573,0.396,0.128,0.2604,0.3082,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_056,35,56,78.706837,13.463186,10000,0.3153,0.4205,0.2089,0.3149,0.3532,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_057,35,57,78.71582,13.463186,10000,0.4291,0.4908,0.1483,0.3561,0.4317,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_058,35,58,78.724803,13.463186,10000,0.3747,0.5474,0.1366,0.3529,0.4312,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_059,35,59,78.733786,13.463186,10000,0.3008,0.5135,0.4784,0.4309,0.4127,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_060,35,60,78.742769,13.463186,10000,0.1746,0.3844,0.2646,0.2746,0.2774,Q3: Moderate-High Relative Stress,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
C_035_061,35,61,78.751753,13.463186,10000,0.1849,0.4773,0.1569,0.273,0.3143,Q3: Moderate-High Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_062,35,62,78.760736,13.463186,10000,0.3036,0.6394,0.1709,0.3713,0.4432,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_063,35,63,78.769719,13.463186,10000,0.3073,0.661,0.5629,0.5104,0.4899,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_064,35,64,78.778702,13.463186,10000,0.496,0.7934,0.7388,0.6761,0.652,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_065,35,65,78.787685,13.463186,10000,0.6172,1.0,0.0314,0.5495,0.7372,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_066,35,66,78.796668,13.463186,10000,0.5098,0.7339,0.0567,0.4334,0.5701,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_067,35,67,78.805652,13.463186,10000,0.2866,0.4729,0.1647,0.3081,0.3597,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_068,35,68,78.814635,13.463186,10000,0.2835,0.4857,0.1985,0.3225,0.3671,Q4: Higher Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_069,35,69,78.823618,13.463186,10000,0.3065,0.3124,0.1048,0.2412,0.291,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_070,35,70,78.832601,13.463186,10000,0.051,0.1297,0.1578,0.1128,0.0961,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_071,35,71,78.841584,13.463186,10000,0.1008,0.3013,0.0776,0.1599,0.1892,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_072,35,72,78.850567,13.463186,10000,0.2044,0.5664,0.0717,0.2808,0.3558,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_073,35,73,78.85955,13.463186,10000,0.3914,0.6075,0.4798,0.4929,0.4969,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_074,35,74,78.868534,13.463186,10000,0.2555,0.3355,0.3969,0.3293,0.3043,Q4: Higher Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_075,35,75,78.877517,13.463186,10000,0.2259,0.5429,0.1372,0.302,0.361,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
C_035_076,35,76,78.8865,13.463186,10000,0.2711,0.3017,0.2672,0.28,0.2845,Q3: Moderate-High Relative Stress,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
C_035_077,35,77,78.895483,13.463186,10000,0.1787,0.2394,0.1618,0.1933,0.2045,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_078,35,78,78.904466,13.463186,10000,0.0441,0.2118,0.1588,0.1382,0.1301,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_079,35,79,78.913449,13.463186,10000,0.1298,0.2883,0.1719,0.1967,0.2051,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_080,35,80,78.922433,13.463186,10000,0.0606,0.1869,0.072,0.1065,0.1186,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_081,35,81,78.931416,13.463186,10000,0.0692,0.1006,0.0046,0.0582,0.0776,Q1: Lower Relative Stress,Baseline / Low,0,No prominent spectral or built-up stress detected.
C_035_082,35,82,78.940399,13.463186,10000,0.1724,0.2147,0.0016,0.1296,0.1761,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_083,35,83,78.949382,13.463186,10000,0.1815,0.2144,0.0,0.132,0.18,Q2: Moderate-Low Relative Stress,Low (Single Evidence Family),1,Isolated vegetation-related spectral decrease without built-up or water change.
C_035_084,35,84,78.958365,13.463186,10000,0.2577,0.2293,0.0,0.1623,0.2217,Q2: Moderate-Low Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_035_085,35,85,78.967348,13.463186,10000,0.3017,0.2931,0.001,0.1986,0.2707,Q2: Moderate-Low Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_035_086,35,86,78.976331,13.463186,10000,0.2641,0.2879,0.0,0.184,0.2511,Q2: Moderate-Low Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
C_035_087,35,87,78.985315,13.463186,10000,0.5,0.9202,0.0,0.4734,0.6446,Q4: Higher Relative Stress,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
