rank,cell_id,latitude,longitude,stress_score,stress_quartile,urbanization_component,vegetation_component,water_component,evidence_strength,dominant_evidence,secondary_evidence,decision_support_label,mandal,nearest_place,nearest_place_distance_km
89,C_042_163,13.400304,79.674143,0.5271,Q4: Higher Relative Stress,0.1922,0.3892,1.0,Moderate (Compound Moisture/Vegetation Stress),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Water/Moisture Condition Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
90,C_065_132,13.193691,79.389556,0.5261,Q4: Higher Relative Stress,0.4553,0.3863,0.7368,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Palasamudram,N/A (Requires Authoritative Settlement Gazetteer),
91,C_045_043,13.373354,78.590056,0.5258,Q4: Higher Relative Stress,0.4515,1.0,0.1258,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
92,C_050_035,13.328439,78.518191,0.5257,Q4: Higher Relative Stress,0.5034,1.0,0.0737,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
93,C_040_166,13.41827,79.701092,0.5255,Q4: Higher Relative Stress,0.2704,0.3283,0.9778,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
94,C_062_061,13.220641,78.751753,0.5254,Q4: Higher Relative Stress,0.6586,0.5686,0.3491,High (Multi-Source Convergence),Urbanization Expansion (NDBI + Dynamic World),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
95,C_071_127,13.139792,79.344641,0.5223,Q4: Higher Relative Stress,0.5239,1.0,0.0431,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Palasamudram,N/A (Requires Authoritative Settlement Gazetteer),
96,C_043_041,13.391321,78.57209,0.5218,Q4: Higher Relative Stress,0.472,0.9848,0.1087,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
97,C_044_044,13.382338,78.599039,0.5209,Q4: Higher Relative Stress,0.5461,0.8953,0.1215,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
98,C_050_164,13.328439,79.683126,0.52,Q4: Higher Relative Stress,0.3603,0.4552,0.7444,High (Multi-Source Convergence),Water/Moisture Spectral Decline (NDWI decrease),Vegetation Spectral Decline (NDVI decrease),Priority Multi-Source Monitoring Zone,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
99,C_048_038,13.346405,78.54514,0.5197,Q4: Higher Relative Stress,0.4618,0.9842,0.113,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
100,C_053_152,13.301489,79.575328,0.5196,Q4: Higher Relative Stress,0.4036,0.8992,0.2561,High (Multi-Source Convergence),Vegetation Spectral Decline (NDVI decrease),Urbanization Expansion (NDBI + Dynamic World),Priority Multi-Source Monitoring Zone,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
