rank,cell_id,lon,lat,stress_score,stress_category,urbanization_component,vegetation_component,water_component,evidence_strength,supporting_evidence_count,evidence_interpretation
138,C_066_072,78.850567,13.184708,0.5031,Q4: Higher Relative Stress,0.4589,0.7738,0.2764,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
139,C_057_058,78.724803,13.265557,0.5029,Q4: Higher Relative Stress,0.6039,0.7539,0.151,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
140,C_067_058,78.724803,13.175725,0.5027,Q4: Higher Relative Stress,0.4906,0.7866,0.2309,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
141,C_056_051,78.661921,13.27454,0.5026,Q4: Higher Relative Stress,0.6598,0.724,0.1241,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
142,C_044_052,78.670904,13.382338,0.5021,Q4: Higher Relative Stress,0.5082,0.8033,0.1948,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
143,C_045_045,78.608022,13.373354,0.5011,Q4: Higher Relative Stress,0.3741,0.9424,0.187,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
144,C_050_161,79.656176,13.328439,0.5011,Q4: Higher Relative Stress,0.3699,0.6302,0.5033,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
145,C_060_098,79.084129,13.238607,0.5008,Q4: Higher Relative Stress,0.6202,0.6798,0.2024,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
146,C_082_051,78.661921,13.040978,0.5008,Q4: Higher Relative Stress,0.4997,1.0,0.0026,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
147,C_063_067,78.805652,13.211658,0.5003,Q4: Higher Relative Stress,0.5,1.0,0.001,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
148,C_088_042,78.581073,12.987079,0.5002,Q4: Higher Relative Stress,0.5,1.0,0.0007,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
149,C_060_055,78.697854,13.238607,0.5001,Q4: Higher Relative Stress,0.4383,0.8526,0.2093,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
150,C_085_040,78.563106,13.014028,0.5001,Q4: Higher Relative Stress,0.5,1.0,0.0003,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
151,C_116_006,78.257679,12.735551,0.5001,Q4: Higher Relative Stress,0.5,1.0,0.0003,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
152,C_073_069,78.823618,13.121826,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
153,C_077_066,78.796668,13.085893,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
154,C_080_040,78.563106,13.058944,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
155,C_080_041,78.57209,13.058944,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
156,C_081_040,78.563106,13.049961,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
157,C_081_041,78.57209,13.049961,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
158,C_081_042,78.581073,13.049961,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
159,C_082_040,78.563106,13.040978,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
160,C_082_041,78.57209,13.040978,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
161,C_082_042,78.581073,13.040978,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
162,C_082_050,78.652938,13.040978,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
163,C_083_041,78.57209,13.031995,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
164,C_083_042,78.581073,13.031995,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
165,C_083_043,78.590056,13.031995,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
166,C_084_041,78.57209,13.023011,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
167,C_084_042,78.581073,13.023011,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
168,C_084_043,78.590056,13.023011,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
169,C_084_044,78.599039,13.023011,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
170,C_084_045,78.608022,13.023011,0.5,Q4: Higher Relative Stress,0.4999,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
171,C_084_048,78.634972,13.023011,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
172,C_085_044,78.599039,13.014028,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
173,C_086_045,78.608022,13.005045,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
174,C_087_044,78.599039,12.996062,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
175,C_116_005,78.248696,12.735551,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
176,C_117_005,78.248696,12.726567,0.5,Q4: Higher Relative Stress,0.5,1.0,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
177,C_054_161,79.656176,13.292506,0.4999,Q4: Higher Relative Stress,0.2943,0.5477,0.6576,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
178,C_046_165,79.692109,13.364371,0.4993,Q4: Higher Relative Stress,0.156,0.3725,0.9693,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
179,C_049_037,78.536157,13.337422,0.4992,Q4: Higher Relative Stress,0.466,0.9543,0.0773,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
180,C_079_039,78.554123,13.067927,0.499,Q4: Higher Relative Stress,0.5,0.9969,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
181,C_052_035,78.518191,13.310472,0.498,Q4: Higher Relative Stress,0.4975,0.9272,0.0694,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
182,C_050_034,78.509207,13.328439,0.4976,Q4: Higher Relative Stress,0.4646,1.0,0.0282,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
183,C_085_041,78.57209,13.014028,0.4976,Q4: Higher Relative Stress,0.5,0.9928,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
184,C_054_152,79.575328,13.292506,0.4976,Q4: Higher Relative Stress,0.2628,0.8652,0.3648,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
185,C_049_164,79.683126,13.337422,0.4973,Q4: Higher Relative Stress,0.1491,0.3429,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
186,C_044_043,78.590056,13.382338,0.4962,Q4: Higher Relative Stress,0.532,0.928,0.0288,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
187,C_045_165,79.692109,13.373354,0.4961,Q4: Higher Relative Stress,0.2667,0.2217,1.0,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
188,C_053_165,79.692109,13.301489,0.4956,Q4: Higher Relative Stress,0.21,0.3725,0.9042,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
189,C_049_169,79.728042,13.337422,0.4952,Q4: Higher Relative Stress,0.2761,0.6977,0.5118,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
190,C_063_051,78.661921,13.211658,0.4942,Q4: Higher Relative Stress,0.408,0.7242,0.3504,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
191,C_054_162,79.66516,13.292506,0.4937,Q4: Higher Relative Stress,0.1892,0.2918,1.0,Moderate (Compound Moisture/Vegetation Stress),2,Co-occurring vegetation and moisture spectral decline (potential ecological stress).
192,C_040_048,78.634972,13.41827,0.4935,Q4: Higher Relative Stress,0.4599,0.8111,0.2096,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
193,C_048_044,78.599039,13.346405,0.4934,Q4: Higher Relative Stress,0.4575,0.9029,0.1199,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
194,C_035_073,78.85955,13.463186,0.4929,Q4: Higher Relative Stress,0.3914,0.6075,0.4798,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
195,C_053_153,79.584311,13.301489,0.4929,Q4: Higher Relative Stress,0.5788,0.7683,0.1316,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
196,C_051_168,79.719059,13.319455,0.4928,Q4: Higher Relative Stress,0.3861,0.7183,0.374,High (Multi-Source Convergence),3,"Tri-component stress: simultaneous built-up expansion, vegetation loss, and moisture decrease."
197,C_118_006,78.257679,12.717584,0.4927,Q4: Higher Relative Stress,0.4672,1.0,0.0108,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
198,C_119_006,78.257679,12.708601,0.4923,Q4: Higher Relative Stress,0.4774,0.9995,0.0,Moderate (Same-Sensor Spectral Agreement),2,Same-sensor spectral agreement between NDBI increase and vegetation decrease.
199,C_080_033,78.500224,13.058944,0.4921,Q4: Higher Relative Stress,0.746,0.5819,0.1484,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
200,C_044_040,78.563106,13.382338,0.4918,Q4: Higher Relative Stress,0.6648,0.696,0.1146,High (Multi-Source Convergence),2,Cross-dataset validated built-up expansion coinciding with vegetation decrease.
